hidden_size,num_layers,learning_rate,batch_size,dropout_rate,gpath,tangles,niareagansc
4,1,0.01,8,0.2,0.21174661529584576,0.31056295588328076,0.21173501542872453
4,1,0.01,8,0.4,0.21174661529584576,0.31056295588328076,0.21173501542872453
4,1,0.01,8,0.5,0.21174661529584576,0.31056295588328076,0.21173501542872453
4,1,0.01,8,0.6,0.21174661529584576,0.31056295588328076,0.21173501542872453
4,1,0.01,16,0.2,0.21881276786452197,0.3055302106861112,0.2039636313524434
4,1,0.01,16,0.4,0.21881276786452197,0.3055302106861112,0.2039636313524434
4,1,0.01,16,0.5,0.21881276786452197,0.3055302106861112,0.2039636313524434
4,1,0.01,16,0.6,0.21881276786452197,0.3055302106861112,0.2039636313524434
4,1,0.01,32,0.2,0.21299476735937395,0.30068359266556915,0.18870899565621735
4,1,0.01,32,0.4,0.21299476735937395,0.30068359266556915,0.18870899565621735
4,1,0.01,32,0.5,0.21299476735937395,0.30068359266556915,0.18870899565621735
4,1,0.01,32,0.6,0.21299476735937395,0.30068359266556915,0.18870899565621735
4,2,0.001,8,0.2,0.1820876960793026,0.27535167740241373,0.15941659093777277
4,2,0.001,8,0.4,0.20065239177435285,0.29977160673205744,0.18692030509584184
4,2,0.001,8,0.5,0.20177918108016715,0.2750995048064809,0.18415801837921397
4,2,0.001,8,0.6,0.18787498281078213,0.26988207877015247,0.1728921960433293
4,2,0.001,16,0.2,0.169444835237789,0.2632273364924681,0.15333045640541046
4,2,0.001,16,0.4,0.16880996970307544,0.2588174803554054,0.1575882055767428
4,2,0.001,16,0.5,0.1787479403118914,0.2574274355606131,0.16522274592730074
4,2,0.001,16,0.6,0.16090874048917803,0.2381658695118795,0.13664508460117158
4,2,0.001,32,0.2,0.1721525013867981,0.25505066661101583,0.1466192497617244
4,2,0.001,32,0.4,0.1692825272594029,0.25647372812927643,0.14967438266259486
4,2,0.001,32,0.5,0.16997310241502223,0.25935958415485116,0.14786428876262842
4,2,0.001,32,0.6,0.1618565047021181,0.24370567005043037,0.1371230528515606
4,2,0.005,8,0.2,0.20691242211289565,0.3016820977303368,0.19430062146873156
4,2,0.005,8,0.4,0.19805879963889322,0.2806586978580753,0.18705619396988565
4,2,0.005,8,0.5,0.2215092942012742,0.2969954108838372,0.20340646489403458
4,2,0.005,8,0.6,0.2070795152233733,0.28648219942904457,0.19823768549280157
4,2,0.005,16,0.2,0.20193765254190654,0.2834359102121843,0.1866232941845523
4,2,0.005,16,0.4,0.19036332372455073,0.2640595106676317,0.18495605632723455
4,2,0.005,16,0.5,0.20204003360368925,0.28984213314071067,0.19739032453675706
4,2,0.005,16,0.6,0.20725351049246798,0.2880896151475668,0.18515951350908155
4,2,0.005,32,0.2,0.19296970386399964,0.26373398402860015,0.17274127933265887
4,2,0.005,32,0.4,0.1913822505058884,0.26580448796869877,0.18631254767407782
4,2,0.005,32,0.5,0.19251631621984394,0.2579289850347869,0.18277146832721508
4,2,0.005,32,0.6,0.20822055455860147,0.26616165990722784,0.1903577751678775
4,2,0.01,8,0.2,0.21684667980530045,0.28178161048791756,0.21815918421490021
4,2,0.01,8,0.4,0.20897308739212161,0.28967876149402905,0.2134477353089455
4,2,0.01,8,0.5,0.16744366543698713,0.23273607418768968,0.1734745209047725
4,2,0.01,8,0.6,0.1945103181710836,0.257026193833225,0.19552359726380333
4,2,0.01,16,0.2,0.18770956811736594,0.2542549385973181,0.18471795715081635
4,2,0.01,16,0.4,0.21360291578389087,0.27280388627049335,0.20104106056493037
4,2,0.01,16,0.5,0.22149807470390065,0.2866145397368391,0.2102151962833525
4,2,0.01,16,0.6,0.20414400106587688,0.27790298745240577,0.19698379537363167
4,2,0.01,32,0.2,0.216128924985656,0.27272245632877706,0.20017228717460403
4,2,0.01,32,0.4,0.21856843503776363,0.2755742032286349,0.19871949324698437
4,2,0.01,32,0.5,0.22196873296040004,0.2816314423121134,0.2069438011666854
4,2,0.01,32,0.6,0.21902054970021628,0.2696857761667237,0.20381773824845478
4,3,0.001,8,0.2,0.18710991521156045,0.248491477094645,0.18702203130681766
4,3,0.001,8,0.4,0.18085788713248302,0.23459521047471768,0.17956164562647242
